headline,author,source,date,wordcount,permalink,decade
Prof Lim is new chief of Asean economic body,,Straits Times,15 December 1979,245,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19791215-1.2.47.aspx,70
ALL CAN NOW APPLY FOR AID,,Straits Times,22 December 1979,849,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19791222-1.2.4.aspx,70
SDC subsidies can reach up to 70 per cent,,Business Times,22 December 1979,953,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19791222-1.2.24.aspx,70
NWC: same in new package?,,Business Times,20 June 1980,1521,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19800620-1.2.27.aspx,80
Wages council rewards above-average worker,,Business Times,21 June 1980,1307,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19800621-1.2.45.aspx,80
New ideas about work for revamped economy,,Straits Times,16 October 1980,1571,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19801016-1.2.29.1.aspx,80
Afghan documentary a saga of courage,John de Souza,Straits Times,19 October 1980,1336,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19801019-1.2.57.1.aspx,80
SES expansion,,Business Times,13 March 1981,1229,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19810313-1.2.25.aspx,80
CLOSE COMPLIANCE,,Business Times,20 May 1981,1391,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19810520-1.2.21.aspx,80
A commonsense approach to success,,Straits Times,31 July 1981,954,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19810731-1.2.26.2.aspx,80
Strategy development,,Business Times,3 September 1981,812,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19810903-1.2.24.aspx,80
Directions for a signpost,,Straits Times,21 December 1981,1422,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19811221-1.2.154.2.aspx ,80
Misconception of NWC's role,Zhou Mei,Business Times,13 April 1982,1945,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19820413-1.2.20.aspx,80
TEN YEARS LATER,,Business Times,13 April 1982,1253,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19820413-1.2.21.aspx,80
Priority given to in-house training schemes,Zhou Mei,Business Times,22 April 1982,1841,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19820422-1.2.21.aspx,80
Members of the National Wages Council,,Straits Times,5 June 1982,884,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19820605-1.2.68.1.aspx,80
Calculation of NWC Wage Adjustment where the agreed quantum is $18.50 + 2.5%,,Straits Times,5 June 1982,884,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19820605-1.2.68.1.aspx,80
Calculation of NWC Wage Adjustment where the agreed quantum is $18.50 + 4.5%,,Straits Times,5 June 1982,884,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19820605-1.2.68.1.aspx,80
Professor Lim Chong Yah resigns from NWC,,Business Times,9 July 1982,154,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19820709-1.2.8.aspx,80
NTUC — one for good of all,,Straits Times,11 August 1982,2431,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19820811-1.2.79.aspx,80
High wage policy is 'answer to scarcity',,Straits Times,27 August 1982,385,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19820827-1.2.45.aspx,80
Let workers take part of CPF at 50,,Straits Times,27 August 1982,650,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19820827-1.2.14.aspx,80
Tripartism of NWC should be preserved says its chief,John Lim,Business Times,27 August 1982,330,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19820827-1.2.9.aspx,80
Govt still has a role in NWC,Ivan Lim,Straits Times,27 August 1982,559,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19820827-1.2.44.aspx,80
Find better ways to use CPF,,Straits Times,28 August 1982,554,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19820828-1.2.76.aspx,80
Why strikes are rare in Austria,Matilda Gabriel,Straits Times,24 October 1982,707,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19821024-1.2.95.aspx,80
Austrian wage body similar to NWC,,Straits Times,10 November 1982,356,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19821110-1.2.85.5.aspx,80
Double-digit NWC award unlikely,Zhou Mei,Business Times,17 May 1983,552,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19830517-1.2.9.aspx,80
Don't expect more from NWC this year,Zhou Mei,Straits Times,18 May 1983,725,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19830518-1.2.9.aspx,80
Tripartitism still prevails,,Straits Times,18 May 1983,2796,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19830518-1.2.67.aspx,80
the NWC talks $10+2 to 6 percent,Sit Yin Fong,The Singapore Monitor,31 May 1983,342,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/singmonitor19830531-1.2.3.aspx,80
